Project Name,Chain,Utility Contract Address,Description,Logo,Project/Dapp Website,App Type
Poap,Gnosis,0x22c1f6050e56d2876009903609a2cc3fef83b415,"POAP, short for Proof of Attendance Protocol, allows you to mint memories as digital mementos.",https://poap.chat/static/media/POAPLogo.bd564ad0.svg,poap.xyz,Social
Axelar Network,Moonbeam,0xad54F68c34Df2a9A311806B84349a06786816FD2,"Axelar delivers secure cross-chain communication for Web3. Our infrastructure enables dApp users to interact with any asset or application, on any chain.",https://dashboard-assets.dappradar.com/document/20978/axelarnetwork-dapp-Defi-ethereum-logo_82ed29b37d73e40046e9c117bc279a2d.png,axelar.network,Defi
Beamswap,Moonbeam,"0xcd3B51D98478D53F4515A306bE565c6EebeF1D58,0x4204cAd97732282d261FbB7088e07557810A6408",First Audited DEX on Moonbeam: DEX / AMM / Yield Farm / Bridge / Launchpad,https://dashboard-assets.dappradar.com/document/13291/beamswap-dapp-Exchanges-moonbeam-logo_d0b74b1739260c90947dc73c239cb218.png,app.beamswap.io,Exchanges
Beefy Finance,Moonbeam,0x595c8481c48894771CE8FaDE54ac6Bf59093F9E8,"The Multichain Yield Optimizer that autocompounds your crypto on BSC, Polygon, Fantom, HECO and Avalanche",https://dashboard-assets.dappradar.com/document/4601/beefyfinance-dapp-Defi-bsc-logo_2048bc78b207696e9b609aeb59d168a8.png,beefy.finance,Defi
Blockchain Monster Hunt,Moonbeam,0x8ECE0D14d619fE26e2C14C4a92c2F9E8634A039E,Blockchain Monster Hunt (BCMH) is the world’s first multi-chain game that is inspired by Pokemon-GO and runs entirely on the blockchain.,https://dashboard-assets.dappradar.com/document/10835/blockchainmonsterhunt-dapp-games-ethereum-logo_5407fec36109eef445a17dd3b41902cc.png,bcmhunt.com,Games
Braindex,Moonbeam,0xe2eA8cb03481B83402e6159cf95A63A934255C6b,"BrainDex is a professional-grade liquidity and dex aggregator, making more efficient markets and better trades.\nAvaialble on Moonbeam, Moonriver, Astar & beyond",https://dashboard-assets.dappradar.com/document/29532/braindex-dapp-Defi-moonbeam-logo_69174693fdb95e250ef6091a2b3f49bd.png,braindex.io,Exchanges
CelerNetwork,Moonbeam,"0x3795C36e7D12A8c252A20C5a7B455f7c57b60283,0x81ECac0D6Be0550A00FF064a4f9dd2400585FE9c,0x6a2d262D56735DbA19Dd70682B39F6bE9a931D98",Building the best inter-blockchain and cross-layer communication platform,https://dashboard-assets.dappradar.com/document/15155/celernetwork-dapp-Defi-ethereum-logo_dd8db97d1ebc88cdf9e458bedf4d0357.png,cbridge.celer.network,Defi
Convergence Finance,Moonbeam,0x8006320739fC281da67Ee62eB9b4Ef8ADD5C903a,The decentralized interchangeable assets protocol. Converge the world.,https://dashboard-assets.dappradar.com/document/15068/convergencefinance-dapp-Defi-ethereum-logo_473124370e1f930d53de66466e1089ba.png,conv.finance,Defi
CougarSwap,Moonbeam,0x2Dfc76901bB2ac2A5fA5fc479590A490BBB10a5F,CougarSwap - The futuristic generation Yield Farming strategies built on Binance Smart Chain features at highest stability and security level.,https://dashboard-assets.dappradar.com/document/6776/cougarswap-dapp-Defi-bsc-logo_1210b6150e1937e34e4128c84f635332.png,www.cougarswap.io,Defi
Curve,Moonbeam,"0xace58a26b8Db90498eF0330fDC9C2655db0C45E2,0x0fFc46cD9716a96d8D89E1965774A70Dcb851E50,0xe74D531b0c7db81E84643D106522C783d61C9675",Exchange / Defi savings tool for stablecoins,https://dashboard-assets.dappradar.com/document/3551/curve-dapp-Exchanges-eth-logo_887a63a45227cd60524ddbfd2fc3269d.png,curve.fi,Defi
Demodyfi,Moonbeam,0x73Ff1cc774883e22bf6ea998B55B5E7211e08B12,"Demodyfi, the Cross chain-compatible DEX",https://dashboard-assets.dappradar.com/document/9009/demodyfi-dapp-Defi-bsc-logo_e4d795fe18711b9a1f2907e8a82c1aba.png,www.demodyfi.com,Defi
Double Protocol,Moonbeam,0x3E756E5eF0A58C3D59509E8246E0926de4B99c86,NFT Rental Marketplace.,https://dashboard-assets.dappradar.com/document/16022/doubleprotocol-dapp-Marketplaces-bsc-logo_fc062578a3f39fb8a39083129a1a36f3.png,double.one,Marketplaces
Exiled Racers,Moonbeam,"0x515e20e6275ceefe19221fc53e77e38cc32b80fb,0x104b904e19fbda76bb864731a2c9e01e6b41f855,0x3507fd182dc5bd1b29214950fdcde40bd167114f,0xa0b48010ff75136bbb5c8a12fedfa37160819834,0xcb3c20ad512a4f135f0633b8683985391c0938b5",Moonbeam's First Native Bluechip NFT Art Collection — with Bonus Community Driven Racing Manager Game.,https://dashboard-assets.dappradar.com/document/17157/exiledracers-dapp-games-moonbeam-logo_77052ec91e78e7246ffd179669c88d97.png,www.exiledracers.com,Games
Frax Finance,Moonbeam,"0x322E86852e492a7Ee17f28a78c663da38FB33bfb,0x2CC0A9D8047A5011dEfe85328a6f26968C8aaA1C",Inventors of the fractional stablecoin & 1st crypto native CPI (Frax Price Index). FRAX is the only stablecoin with parts backed & parts algorithmic,https://dashboard-assets.dappradar.com/document/14563/fraxfinance-dapp-Defi-ethereum-logo_570baa29de3a726ad283357638b500a8.png,frax.finance,Defi
Galxe,Moonbeam,0x3bF3249739907892350128eA985Ee8281079A1A8,The largest Web3 credential data network in the world.,https://dashboard-assets.dappradar.com/document/20598/galxe-dapp-social-matic-logo_033b8027624b1a20f188c1e991201392.png,galxe.com,Social
GLMR APES,Moonbeam,0x8fBE243D898e7c88A6724bB9eB13d746614D23d6,1001 banana-loving GLRM APES chilling together on Glimmer.\nFirst sold-out collection and first DAO on Moonbeam network.,https://dashboard-assets.dappradar.com/document/13318/glmrapes-dapp-collectibles-moonbeam-logo_c4c9c90026f0e33b175027502152cd57.png,www.glmrapes.com,Collectibles
Impossible Finance,Moonbeam,0xfCAF13227dcBFa2dc2b1928acFcA03b85e2D25dd,"Impossible Finance is the go-to crypto investment platform that empowers you with high-quality, fair and accessible crypto opportunities.",https://dashboard-assets.dappradar.com/document/13564/impossiblefinance-dapp-Defi-bsc-logo_815a32930e35ff80f0a59755d42646b5.png,impossible.finance,Defi
LI.FI,Moonbeam,0x1231DEB6f5749EF6cE6943a275A1D3E7486F4EaE,Developer Solution Providing Advanced Bridge Aggregation with DEX Connectivity.,https://dashboard-assets.dappradar.com/document/22780/lifi-dapp-Defi-aurora-logo_5479f4bf8e265bb869bc62351ea5c271.png,li.fi,Exchanges
LIDO,Moonbeam,0x191cf2602Ca2e534c5Ccae7BCBF4C46a704bb949,"The Lido Ethereum Liquid Staking Protocol, built on Ethereum 2.0's Beacon chain, allows their users to earn staking rewards on the Beacon chain without locking",https://dashboard-assets.dappradar.com/document/7824/lido-dapp-Defi-ethereum-logo_c449fb18f54140d3f0edfe29195c35bb.png,www.lido.fi,Defi
Moonbeam Unicorns,Moonbeam,"0xe088cDCc176C3907fa8c02a789498E826dC46a14,0xe088cDCc176C3907fa8c02a789498E826dC46a14",Who needs apes when clearly unicorns are better.,https://dashboard-assets.dappradar.com/document/17214/moonbeamunicorns-dapp-collectibles-moonbeam-logo_43a7cca1a927ee0f7077aca142321d18.png,moonbeam-unicorns.netlify.app,Collectibles
MoonBeans,Moonbeam,0x65b09ef8c5A096C5Fd3A80f1F7369E56eB932412,"MoonBeans is one of the leading NFT Marketplaces on Dotsama, providing the highest platform rewards available on the market!",https://dashboard-assets.dappradar.com/document/13544/moonbeans-dapp-Marketplaces-moonriver-logo_ef9f9fd5cc18b1df34a63d2b694629c7.png,www.moonbeans.io,Marketplaces
MoonFit,Moonbeam,"0x6758053c0b27E478edE1E4882adFF708Fc4FA72D,0x02A6DeC99B2Ca768D638fcD87A96F6069F91287c",MoonFit is a Web3 & NFT Lifestyle App that promotes active living by rewarding users anytime they burn calories through physical activities.,https://dashboard-assets.dappradar.com/document/20698/moonfit-dapp-social-moonbeam-logo_103cc37bf042b08cc0f00a3612e658ce.png,moonfit.xyz,Social
Moonscape,Moonbeam,0xB60590313975f0d98821B6Cab5Ea2a6d9641D7B6,"Moonscape is a next-generation web3 resource management game, set in the distant future.",https://dashboard-assets.dappradar.com/document/15387/moonscape-dapp-games-moonbeam-logo_6fa32dd2f64b9ecb4ddf5ca64bb981a9.png,www.moonscapegame.com,Games
